index,tag,label
38232,putenbrust,putenbrust
38262,chocolates-stuffed-with-almond-paste,Chocolates stuffed with almond paste
38264,zartbitterkuvertüre,zartbitterkuvertüre
38265,zitronensaft,zitronensaft
38309,banana-nectars,Banana nectars
38359,schokoaldeneis,schokoaldeneis
38475,schoko-schaumküsse,schoko-schaumküsse
38514,barres-chocolatees-au-lait,barres-chocolatees-au-lait
38635,pine-nuts,Pine nuts
38672,saucisses-de-nuremberg,Saucisses de Nuremberg
38683,halloumi,Halloumi
38688,eiweissbrot,eiweissbrot
38704,raw-chicken-meat,Raw-chicken-meat
38729,backerbsen,backerbsen
38747,salzgebäck,salzgebäck
38770,frozen-chopped-spinachs,Frozen chopped spinachs
38827,gulasch,gulasch
38833,spatzle,Spätzle
38841,pickled-capers,Pickled capers
38888,pflanzliches-lebensmittel,pflanzliches-lebensmittel
38904,pizzateig,pizzateig
38919,parboiled-rices,Parboiled rices
38937,remoulade,remoulade
39015,boudins-blanc-a-l-ancienne,Boudins blanc à l'ancienne
39071,meules-belmontoises,meules-belmontoises
39105,souris-d-agneau-confite,souris-d-agneau-confite
39115,fourme-d-ambert-cheese-from-cow-s-milk,Fourme d'Ambert cheese from cow's milk
39148,auvergne-blue-cheese-from-cow-s-milk,Auvergne blue cheese from cow's milk
39155,lorrain-sausages,Lorrain Sausages
39156,saucissons-artisanaux,Saucissons artisanaux
39160,jambon-de-derriere,Jambon de derrière
39181,chitterling-sausage-from-guemene,Chitterling sausage from Guéméné
39298,grated-carrots,Grated carrots
39299,seasoned-shredded-carrots,Seasoned shredded carrots
39336,poitrines-fumees,poitrines-fumees
39355,viandes-marinees,viandes-marinees
39367,goat-milk-yogurts,Goat milk yogurts
39369,aluminium,aluminium
39370,carton,carton
39420,capon,Capon
39448,cheeses-with-walnuts,Cheeses with walnuts
39449,belegde-broodjes,belegde-broodjes
39458,white-gouda,White gouda
39466,rotis,rotis
39467,rotis-de-canard,rotis-de-canard
39509,moussaka,Moussaka
39519,camargue-rices,Camargue rices
39528,jambons-avec-couenne,jambons-avec-couenne
39537,jambno-superieur,jambno-superieur
39538,jambon-superieur-avec-couenne,jambon-superieur-avec-couenne
39558,ham-croissants,Ham croissants
39564,steaks-de-thon,steaks-de-thon
39565,steaks-de-thon-albacore,Steaks de thon albacore
39566,thons-frais,thons-frais
39584,veal-escalopes,Veal escalopes
39594,fromage-a-pate-pressee,fromage-a-pate-pressee
39602,merguez,Merguez
39638,orange-juice-from-concentrate,Orange-juice-from-concentrate
39686,lomos,lomos
39698,porcelet,porcelet
39699,huile-de-friture,huile-de-friture
39705,leeks,Leeks
39735,bonbons-aux-plantes,bonbons-aux-plantes
39784,custards-and-pastry-creams,Custards and pastry creams
39796,boterhamspread,boterhamspread
39838,geräucherter-fisch,geräucherter-fisch
39880,christmas-ham,Christmas-ham
39881,julskinka,julskinka
39898,contient-de-l-huile-de-palme,contient-de-l-huile-de-palme
39899,knödel,knödel
39919,swedish-cheeses,Swedish cheeses
39925,brechbohnen,brechbohnen
39928,fruchtgummi,fruchtgummi
39941,barres-de-graines,barres-de-graines
39942,barres-de-sésame,barres-de-sésame
39949,fruchtriegel,fruchtriegel
39974,cured-fish,Cured-fish
39978,bohnen,bohnen
40008,sliced-cooked-ham,Sliced-cooked-ham
40017,meeresfrüchte,meeresfrüchte
40085,weizenfladen,weizenfladen
40157,hähnchenkeule,hähnchenkeule
40293,helgskinka,helgskinka
40319,salumi,salumi
40363,bratwurst,bratwurst
40454,nut-oils,Nut oils
40455,legume-oils,Legume oils
