code,product_name,categories_tags,categories_en,countries_en,ingredients_text,allergens,nutriscore_grade,nova_group,main_category,energy-kcal_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
0000020424640,Belgische Pralinen,snacks|sweet-snacks|confectioneries|chocolate-candies|bonbons,Snacks|Sweet snacks|Confectioneries|Chocolate candies|Bonbons,Germany,zucker|kakaomasse|kakaobutter|vollmilchpulver|palmöl|karamellzubereitung|glukosesirup|palmöl|zucker|vollmilchpulver|wasser|emulgat lecithine|soja|aroma|speisesalz|glukosefruktosesirup|butterreinfett|marzipan|zucker|mandeln|dextrose|feuchthaltemitt glycerin|sorbit|dextrose|haselnusskerne|stark entöltes kakaopulver|emulgat lecithine|soja|glukosesirup|spirituose|mandeln|pisatazien|aroma|magermilchpulver|kaffee,en|en|en|de,e,4.0,bonbons,,33.3,21.1,,,53.8,51.5,,4.7,0.09,0.036000000000000004
0000027533024,Luxury Christmas Pudding,desserts|puddings|christmas-puddings,Desserts|Puddings|Christmas Puddings,United Kingdom,demerara sugar|sultanas|raisins|bread rusk|fortified wheat flour|wheat flour|calcium carbonate|iron|niacin|thiamin|salt|yeast|cider|currants|sherry|palm oil|cognac|glacé cherries|cherries|glucosefructose syrup|colour|anthocyanins|acidity regulator|citric acid|single cream|from milk|walnuts|almonds|nut|fortified wheat flour|wheat flour|calcium carbonate|iron|niacin|thramin|brandy|rum|treacle|candied citrus peel|glucose syrup|orange peel|sugar|lemon peel|acidity regulator|citric acid|barley malt extract|mixed spice|coriander|cinnamon|cloves|fennel|ginger|nutmeg|cardamom|salt|lemon oil|orange oil,en|en|en,d,4.0,christmas-puddings,,7.0,3.6,,,54.2,44.0,4.7,3.9,0.2,0.08
0000027533048,Luxury Christmas Pudding,snacks|desserts|sweet-snacks|biscuits-and-cakes|cakes|puddings|christmas-puddings,Snacks|Desserts|Sweet snacks|Biscuits and cakes|Cakes|Puddings|Christmas Puddings,United Kingdom,demerara sugar|sultanas|raisins|bread rusk|fortified wheat flour|wheat flour|calcium carbonate|iron|niacin|thiamin|salt|yeast|cider|currants|sherry|palm oil|cognac|glacé cherries|cherries|glucosefructose syrup|colour|anthocyanins|acidity regulator|citric acid|single cream|from milk|walnuts|almonds|nut|fortified wheat flour|wheat flour|calcium carbonate|iron|niacin|thramin|brandy|rum|treacle|candied citrus peel|glucose syrup|orange peel|sugar|lemon peel|acidity regulator|citric acid|barley malt extract|mixed spice|coriander|cinnamon|cloves|fennel|ginger|nutmeg|cardamom|salt|lemon oil|orange oil,en|en|en|en Malt Extract,d,4.0,christmas-puddings,,7.0,3.6,,,54.2,44.0,4.7,3.9,0.199898,0.0799592
0000030053014,Pastille Vichy,snacks|sweet-snacks|confectioneries|candies|bonbons-sans-sucres|pastilles,Snacks|Sweet snacks|Confectioneries|Candies|bonbons-sans-sucres|pastilles,France,édulcorants|sorbitol|aspartame|agent d'enrobage|sels de magnésium d'acides|extraits des eaux de vichy|arôme|consommation excessive peut avoir des effets laxatifs|contient une source de phénylalanine,,c,4.0,pastilles,250.0,0.0,0.0,,,95.0,0.0,0.0,0.0,0.0,0.0
0000040144078,M&M's Peanut Butter,snacks|sweet-snacks|confectioneries|chocolate-candies|bonbons|chocolate-covered-nuts|chocolate-covered-peanuts,Snacks|Sweet snacks|Confectioneries|Chocolate candies|Bonbons|Chocolate covered nuts|Chocolate covered peanuts,France,sucre|arachide|pâte de cacao|lait écrémé en poudre|lactose et protéine de lait|matières grasses végétales|beurre de cacao|beurre concentré|amidon|sirop de glucose|iécithine de soja|gomme arabique|colorant|arôme|sel|huile végétale,en|en|en,e,4.0,chocolate-covered-peanuts,563.0,30.5,18.8,,,51.6,51.6,0.0,0.0,2.23,0.892
0000040608754,"Pepsi, Nouveau goût !",beverages|carbonated-drinks|sodas|colas|sweetened-beverages,Beverages|Carbonated drinks|Sodas|Colas|Sweetened beverages,France,eau gazéifiée|sucre|colorant caramel|acidifiant|acide phosphorique|arômes|dont|extraits naturels de végétaux|caféine,,e,4.0,sweetened-beverages,,0.0,0.0,,,10.4,10.4,0.0,0.0,0.0254,0.010159999999999999
0000050157846,Heinz Squeeze Sauce Salade Cream,groceries|sauces,Groceries|Sauces,France,vinaigre d'alcool|eau|huile de pépins de raisin|sucre|farine de maïs|moutarde|jaune d|oeuf pasteurisé|sel|colorant|riboflavine,en|en,d,4.0,sauces,293.0,23.8,1.8,,,18.5,17.0,,1.3,1.7,0.68
0000087157635,Tomato Ketchup,groceries|sauces|tomato-sauces|ketchup,Groceries|Sauces|Tomato sauces|Ketchup,France,tomates|pour de tomato ketchup|vinaigre|sucre|sel|extraits d'épices et d'herbes|contiennent du céleri|épice,en,d,3.0,ketchup,102.0,0.1,0.1,,,23.2,22.8,,1.2,1.8,0.72
0000087177756,7Up,plant-based-foods-and-beverages|beverages|plant-based-beverages|carbonated-drinks|fruit-based-beverages|sodas|fruit-sodas|lemon-soft-drinks|sweetened-beverages,Plant-based foods and beverages|Beverages|Plant-based beverages|Carbonated drinks|Fruit-based beverages|Sodas|Fruit sodas|Lemon soft drinks|Sweetened beverages,France,eau gazéifiée|sucre|acidifiants|acide citrique|acide malique|arômes|extraits naturels de citron et de citron vert|correcteur d'acidité|citrate de sodium,,e,4.0,sweetened-beverages,,0.0,0.0,,,10.4,10.4,,0.0,0.1,0.04
000010,Madeleines nature,snacks|desserts|sweet-snacks|biscuits-and-cakes|cakes|madeleines,Snacks|Desserts|Sweet snacks|Biscuits and cakes|Cakes|Madeleines,France,farine de blé|huile de colza|sucre|oeufs frais|sirop de glucosefructose|stabilisant|glycérol|poudres à lever|carbonates d'ammonium|carbonates de sodium|diphosphates|blé|sel|émulsifiants|mono et diglycérides d'acides gras|lait écrémé en poudre|arôme,en|en|en,d,4.0,madeleines,,23.0,2.5,,,55.0,26.0,1.5,6.0,0.68,0.272
000015,Madeleines ChocoLait,biscuits-and-cakes|cakes|chocolate-cakes|madeleines|chocolate-madeleines,Biscuits and cakes|Cakes|Chocolate cakes|Madeleines|Chocolate madeleines,France,farine de blé|sucre|huile de colza|oeufs frais|sirop de glucosefructose|beurre de cacao|lait entier en poudre|stabilisant|glycérol|pâte de cacao|poudres à lev carbonates d'ammonium carbonates de sodium diphosphates|blé|émulsifiants|mono et diglycérides d'acides gras lécithines|soja|sel|lait écrémé en poudre|arômes,,d,4.0,chocolate-madeleines,472.0,25.0,6.0,,,55.0,31.0,1.6,6.0,0.58,0.23199999999999998
000030,Cakes Raisins,snacks|sweet-snacks|biscuits-and-cakes|cakes|fruit-cakes|cakes-aux-raisins,Snacks|Sweet snacks|Biscuits and cakes|Cakes|Fruit cakes|cakes-aux-raisins,France,farine de blé|oeufs frais|huile de colza|sucre|raisins secs|raisins|huile de colza|dextrose|sirop de glucosefructose|stabilisant|glycérol|poudres à lever|carbonates d|ammonium carbonates de sodium diphosphates|blé|sel|lait écrémé en poudre|émulsifiants|mono et diglycérides d|acides gras|arôme naturel d'orange,en|en|en,d,4.0,cakes-aux-raisins,,19.0,2.5,,,56.0,28.0,1.8,5.8,0.65,0.26
000031,Cakes aux Fruits,snacks|desserts|sweet-snacks|biscuits-and-cakes|cakes|pastries|fruit-cakes,Snacks|Desserts|Sweet snacks|Biscuits and cakes|Cakes|Pastries|Fruit cakes,France,fruits|fruits confits|fruits|pastèque|bigarreaux|écorce d|orange|sirop de glucosefructose|sucre|conservateurs|sorbate de potassium anhydride sulfureux|colorants|caramel ordinaire|correcteur d|acidité|acide citrique|raisins secs au rhum|farine de blé|huile de colza|oeufs frais|sucre|sirop de glucosefructose|stabilisant|glycérol|poudres à lever|carbonates d|ammonium carbonates de sodium diphosphates|blé|sel|émulsifiants|mono et diglycérides d|acides gras|lait écrémé en poudre|arôme naturel d|orange,,d,4.0,fruit-cakes,,15.0,2.0,,,60.0,34.0,1.5,4.9,0.6,0.24
000039365,Pure Whey Protein Berries & Cream,dietary-supplements|bodybuilding-supplements|protein-powders,Dietary supplements|Bodybuilding supplements|Protein powders,France,concentré de protéine de lait non dénaturée|arôme|fruits rouges|crème|stabilisant|gomme xanthane|colorant naturel|rouge betterave|édulcorant|sucralose|agent d'instantanéisation|lécithine de soja,en|en,d,4.0,protein-powders,417.0,8.33,5.0,,,8.67,8.67,0.33299999999999996,76.3,0.37,0.14800000000000002
000039681,Pure Whey Protein™ Chocolate Peanut,dietary-supplements|bodybuilding-supplements|protein-powders,Dietary supplements|Bodybuilding supplements|Protein powders,France,concentré de protéine de lactosérum non dénaturée|lait|lécithine de soja|poudre de cacao|arôme|chocolat cacahuète|stabilisant|gomme xanthane|édulcorant|sucralose|agent d'instantanéisation|lécithine de soja,en|en,d,4.0,protein-powders,417.0,7.5,5.0,,,10.0,10.0,0.4,75.0,0.35100000000000003,0.1404
